Date,Open,High,Low,Close,Adj Close,Volume
2019-07-15,89.870003,90.339996,89.660004,90.160004,80.815742,6061300
2019-07-16,90.220001,90.480003,89.589996,90.080002,80.744041,5591900
2019-07-17,90.080002,90.379997,89.730003,90.250000,80.896431,4635900
2019-07-18,90.330002,91.540001,89.949997,91.500000,82.016876,6470200
2019-07-19,91.410004,91.610001,90.230003,90.300003,80.941246,10804800
2019-07-22,90.519997,91.180000,90.050003,90.919998,81.496986,5636600
2019-07-23,91.250000,91.360001,89.169998,90.110001,80.770935,7609200
2019-07-24,89.900002,90.750000,89.680000,90.650002,81.254959,5388100
2019-07-25,91.489998,91.550003,90.470001,90.980003,81.550781,8106300
2019-07-26,96.400002,99.720001,95.209999,99.110001,88.838150,20846500
2019-07-29,98.050003,98.940002,97.209999,98.019997,87.861137,11184500
2019-07-30,97.500000,98.279999,96.519997,96.650002,86.633125,7248300
2019-07-31,96.650002,96.650002,93.500000,94.690002,84.876251,9912100
2019-08-01,95.000000,97.580002,94.580002,95.379997,85.494766,8342300
2019-08-02,95.000000,96.040001,94.800003,95.510002,85.611267,6381700
2019-08-05,94.510002,95.519997,93.029999,93.699997,83.988846,8917400
2019-08-06,94.309998,95.709999,93.800003,95.339996,85.458885,7438000
2019-08-07,94.599998,95.699997,94.169998,95.220001,85.674835,6414000
2019-08-08,95.230003,96.410004,94.440002,96.269997,86.619568,7423600
2019-08-09,96.150002,96.839996,95.419998,96.300003,86.646576,5209200
2019-08-12,95.779999,96.019997,94.300003,94.910004,85.395920,5513800
2019-08-13,94.519997,96.669998,94.209999,96.629997,86.943504,8915600
2019-08-14,95.910004,97.019997,94.870003,94.919998,85.404900,9989500
2019-08-15,95.500000,96.269997,94.610001,95.529999,85.953751,5559400
2019-08-16,96.290001,96.830002,95.849998,96.519997,86.844521,4852200
2019-08-19,97.230003,97.410004,96.220001,96.660004,86.970474,5324900
2019-08-20,96.349998,97.120003,95.589996,95.629997,86.043739,6809100
2019-08-21,96.269997,96.650002,95.730003,96.320000,86.664551,4740500
2019-08-22,96.589996,96.849998,95.699997,96.489998,86.817528,5146200
2019-08-23,96.410004,97.099998,94.389999,94.699997,85.206932,8076600
2019-08-26,95.379997,96.500000,95.000000,96.500000,86.826523,5802600
2019-08-27,96.699997,97.099998,96.029999,96.089996,86.457611,6539800
2019-08-28,96.230003,97.209999,96.000000,97.070000,87.339378,4948800
2019-08-29,97.849998,98.070000,97.059998,97.699997,87.906235,4514300
2019-08-30,98.139999,98.139999,96.110001,96.559998,86.880508,5209500
2019-09-03,96.419998,97.209999,96.050003,96.769997,87.069450,5150700
2019-09-04,94.480003,96.330002,93.029999,96.110001,86.475616,12937000
2019-09-05,96.540001,96.959999,95.169998,95.559998,85.980759,5514400
2019-09-06,95.750000,96.339996,95.510002,95.739998,86.142700,3991800
2019-09-09,95.800003,95.930000,93.739998,94.160004,84.721077,6523300
2019-09-10,93.809998,93.879997,89.300003,90.349998,81.293030,12490900
2019-09-11,90.180000,91.449997,89.610001,90.980003,81.859871,8406600
2019-09-12,92.160004,93.320000,91.769997,92.059998,82.831596,6862200
